run,episode,epsilon,train_return,return,pct_at_target,pct_correct,pct_stopped,dose_rate,seconds
dqn_shared_ic50,416,1.0,-0.8278435173089461,-1.0133364946673566,71.5,71.5,0.0,0.7430573820606358,0.24960899353027344
dqn_shared_ic50,800,1.0,-0.9960331557147343,-1.0133364946673566,71.5,71.5,0.0,0.7430573820606358,0.48948001861572266
dqn_shared_ic50,1216,0.9612,-0.8510269676105804,-0.391469932563239,89.75,90.0,1.0,0.9744918717766258,7.173044204711914
dqn_shared_ic50,1600,0.9224,-0.7952194216360824,-0.3348262932846555,94.5,94.75,0.75,1.0083101240060128,14.678847312927246
dqn_shared_ic50,2016,0.8803666666666666,-0.7735763125661361,-0.35830408389103835,90.5,90.75,1.25,0.8768323896984225,21.817291975021362
dqn_shared_ic50,2400,0.8415666666666667,-0.8027897921339989,-0.33971281184333435,92.75,93.0,0.25,0.9405939100352999,25.845637321472168
dqn_shared_ic50,2816,0.7995333333333333,-0.7101990801988918,-0.34361611879125575,94.0,94.25,0.25,1.019262817027647,30.05808973312378
dqn_shared_ic50,3200,0.7607333333333334,-0.7736450091391212,-0.3298431201606688,95.0,95.25,0.25,0.9705897801946489,33.93517994880676
dqn_shared_ic50,3616,0.7187,-0.6590407637223076,-0.33779267924963186,95.0,95.25,0.75,1.0276371451673603,38.56176447868347
dqn_shared_ic50,4000,0.6799,-0.7922087814665546,-0.3401306382298114,94.5,94.75,0.25,1.0801718270183784,46.503453493118286
dqn_shared_ic50,4416,0.6378666666666666,-0.6731600439430784,-0.3332731034127251,94.25,94.5,0.5,1.0070524152683091,55.07361125946045
dqn_shared_ic50,4800,0.5990666666666666,-0.7063821675434862,-0.33916425468310263,95.25,95.5,0.25,1.0680499490283277,63.02236270904541
dqn_shared_ic50,5216,0.5570333333333333,-0.6724916571080595,-0.32170401343430705,94.75,95.0,1.0,1.0236665310604212,71.5407645702362
dqn_shared_ic50,5600,0.5182333333333333,-0.5458924617410629,-0.34102238623983744,95.0,95.25,0.5,1.101766648299238,79.76403021812439
dqn_shared_ic50,6016,0.47619999999999996,-0.5540442173307969,-0.33199662037870825,93.5,93.75,0.75,1.0299411050746863,87.77092838287354
dqn_shared_ic50,6400,0.4374,-0.49244023252331365,-0.33200793936214024,94.0,94.25,0.75,1.0117366198934092,96.0873863697052
dqn_shared_ic50,6816,0.39536666666666676,-0.5029292978059189,-0.32892385436079136,93.75,94.0,0.75,1.024053403134379,104.72808790206909
dqn_shared_ic50,7200,0.3565666666666667,-0.44449426271998815,-0.3361418870900782,92.5,92.75,0.75,1.0026279679496382,112.70262098312378
dqn_shared_ic50,7616,0.31453333333333333,-0.5500311658199526,-0.33061147438591343,94.0,94.25,1.25,1.1391791152980106,120.96236062049866
dqn_shared_ic50,8000,0.2757333333333333,-0.4987877035525446,-0.3331830552008464,93.25,93.5,0.5,1.0683515052933494,128.54442381858826
dqn_shared_ic50,8416,0.23370000000000002,-0.4441407477771235,-0.33611289742391515,94.0,94.25,0.75,0.9701285380489282,136.99370408058167
dqn_shared_ic50,8800,0.19490000000000007,-0.44488730523997005,-0.32736561245326384,94.0,94.25,0.75,1.0699775821026662,144.98758602142334
dqn_shared_ic50,9216,0.1528666666666667,-0.4214822957053804,-0.3199580849599665,94.25,94.5,1.25,1.0602039492807334,153.12992024421692
dqn_shared_ic50,9600,0.11406666666666665,-0.3836266453670458,-0.3255249531402191,95.0,95.25,1.25,1.0152295687680644,160.82990741729736
dqn_shared_ic50,10016,0.0720333333333334,-0.38210640927516515,-0.3278249956415473,93.75,94.0,0.75,0.9487984364222071,168.96183848381042
dqn_shared_ic50,10400,0.03323333333333334,-0.36366522011617364,-0.3422504498712431,93.5,93.75,1.0,1.081263067577693,176.8381519317627
dqn_shared_ic50,10816,0.030000000000000027,-0.33716986949356037,-0.32695845791350936,93.5,93.75,1.25,1.0228298997643974,185.30527782440186
dqn_shared_ic50,11200,0.030000000000000027,-0.3229766149602818,-0.32838316334315254,95.0,95.25,1.0,1.029974843837908,192.42985725402832
dqn_shared_ic50,11616,0.030000000000000027,-0.36979773293604346,-0.32992595916943107,94.25,94.5,1.5,1.0266018656534426,200.0678162574768
dqn_shared_ic50,12000,0.030000000000000027,-0.30327573680539616,-0.3298053510392344,94.25,94.5,0.75,0.9576621632594225,206.72222304344177
dqn_shared_ic50,12416,0.030000000000000027,-0.324717227935476,-0.3358866193889785,95.0,95.25,0.75,1.0334524806958911,213.83063316345215
dqn_shared_ic50,12800,0.030000000000000027,-0.30650177567436204,-0.3251223291977368,95.0,95.25,0.75,1.0464949002137323,219.17076754570007
dqn_shared_ic50,13216,0.030000000000000027,-0.3719983472679377,-0.3357957837363959,95.25,95.5,1.5,0.9942223675153589,224.8631362915039
dqn_shared_ic50,13600,0.030000000000000027,-0.2985014395438916,-0.31370493902659896,95.0,95.25,1.5,1.0142430266394713,229.7850489616394
dqn_shared_ic50,14016,0.030000000000000027,-0.3171273220307555,-0.3273475799397052,95.0,95.25,1.25,0.989325840576544,235.08158159255981
dqn_shared_ic50,14400,0.030000000000000027,-0.31901183877110784,-0.319846183542985,96.0,96.25,1.5,0.9834663955138174,240.24715781211853
dqn_shared_ic50,14816,0.030000000000000027,-0.35898271260524506,-0.32237010226367047,94.75,95.0,1.25,1.0394481629060235,246.26503992080688
dqn_shared_ic50,15200,0.030000000000000027,-0.33853409426916165,-0.32419480679699064,95.25,95.5,2.0,1.002563855391216,250.02487206459045
dqn_shared_ic50,15616,0.030000000000000027,-0.36105744288647806,-0.3156679669496275,94.75,95.0,1.25,1.0319913601986013,253.19271302223206
dqn_shared_ic50,16000,0.030000000000000027,-0.3531967486110699,-0.31369125003167037,95.0,95.25,1.25,1.0224831159632288,255.84247875213623
