scenario,a,b,pct_at_target,pct_at_target_lo,pct_at_target_hi,pct_correct,pct_correct_lo,pct_correct_hi,dose_rate,dose_rate_lo,dose_rate_hi,mean_return,mean_return_lo,mean_return_hi
main,DQN,MAP-Bayes,-8.022222222222211,-9.266666666666666,-6.732777777777779,-8.177777777777777,-9.422777777777787,-6.8888888888889,0.17374430273263863,0.15693597274951113,0.190829242602352,-0.04235586208209041,-0.05084144547667463,-0.034150346183069294
main,DQN,Standard,31.84444444444445,29.599444444444433,34.045000000000016,39.155555555555566,36.799444444444454,41.466666666666654,0.95549672756452,0.9167287026699098,0.9944014550842943,1.7009183291173495,1.5742636915812105,1.8337351106018693
main,MAP-Bayes,Standard,39.86666666666666,37.331666666666656,42.46666666666667,47.33333333333334,44.73166666666667,49.93333333333334,0.7817524248318813,0.7331499956222481,0.8317570646820077,1.7432741911994398,1.6228326391784533,1.8785181212519046
main,Oracle,DQN,7.2222222222222285,5.732222222222223,8.756111111111116,7.711111111111109,6.222222222222243,9.288888888888891,-0.3823680987407143,-0.4059418231976561,-0.3562159766442442,0.18008852936118824,0.170454948704559,0.19059478253652554
seen,DQN,MAP-Bayes,-7.8888888888888715,-9.088888888888874,-6.73333333333332,-7.933333333333323,-9.244999999999996,-6.688888888888897,0.1705847370554474,0.15309945878440834,0.18582105953809144,-0.03965733623657963,-0.04889635724777468,-0.030293564037501965
seen,DQN,Standard,31.84444444444445,29.44444444444445,34.00055555555554,38.733333333333334,36.199444444444445,41.0688888888889,0.9811162789364655,0.9375676091295988,1.022819277752692,1.7342440724738544,1.5921890159268295,1.8685812001555986
seen,MAP-Bayes,Standard,39.73333333333332,37.2,42.266666666666666,46.66666666666666,44.13333333333334,49.199999999999996,0.8105315418810181,0.7611757570122359,0.8580004826182811,1.773901408710434,1.6457157134875402,1.8950609819548474
seen,Oracle,DQN,6.955555555555549,5.5550000000000015,8.466666666666669,7.333333333333329,5.86666666666666,8.867222222222242,-0.3809798204095418,-0.4075837017211157,-0.3558721918624836,0.185063263315963,0.1750080535889355,0.195136990571832
flares,DQN,MAP-Bayes,-4.955555555555563,-6.5783333333333385,-3.4000000000000052,-5.199999999999989,-6.955555555555563,-3.599444444444467,0.15546861973003545,0.13661235575821204,0.17220417435691668,-0.0011252557780834227,-0.012944803617983254,0.011751959388273255
flares,DQN,Standard,25.911111111111104,23.8888888888889,28.02222222222221,33.800000000000004,31.511111111111127,36.066666666666656,0.9732671759402333,0.9325435340576956,1.0110803773679955,1.7216272961138674,1.5845992349222582,1.8382349460687546
flares,MAP-Bayes,Standard,30.866666666666667,28.331666666666663,33.39999999999999,38.99999999999999,36.33166666666666,41.66833333333333,0.8177985562101978,0.7696327627565485,0.8646814052863788,1.7227525518919509,1.611372809737749,1.8522976730523326
flares,Oracle,DQN,-8.911111111111111,-10.933888888888893,-7.111111111111114,-9.266666666666666,-11.422222222222217,-7.310555555555562,-0.3944766342173409,-0.41917877501937967,-0.3686489314753202,0.0038757556112644087,-0.01422643680488397,0.022352326192829317
flares,DQN trained with flares,MAP-Bayes,0.7333333333333343,-0.9333333333333229,2.2666666666666657,0.8000000000000114,-0.8666666666666604,2.4000000000000057,0.3666559188634064,0.34371486476327995,0.38716432877509865,0.0138566027448086,-0.0021790767988991793,0.029546912269710526
shared_ic50,DQN,MAP-Bayes,-3.799999999999997,-4.86666666666666,-2.866666666666674,-3.7333333333333343,-4.799999999999997,-2.7333333333333343,0.17393883140241817,0.15913397090372863,0.18793967309285045,-0.023071881147961548,-0.03139021400914095,-0.014653048544552072
shared_ic50,DQN,Standard,14.800000000000011,13.064999999999996,16.534999999999997,16.066666666666677,14.198333333333336,17.86666666666666,0.25634794604470146,0.22387726664092975,0.28947975008558297,0.5307276826192322,0.44797647935869184,0.608173356626752
shared_ic50,MAP-Bayes,Standard,18.60000000000001,16.599999999999994,20.533333333333317,19.80000000000001,17.799999999999997,21.86666666666666,0.08240911464228329,0.047386797175550714,0.11879653944533342,0.5537995637671937,0.4773797493305928,0.6340863035554806
shared_ic50,Oracle,DQN,1.5333333333333314,0.3333333333333286,2.86666666666666,1.6000000000000085,0.3983333333333254,2.86666666666666,-0.3471573393960058,-0.3652557520359993,-0.328611983332501,0.11733281963761982,0.1083898806189606,0.12590639181778907
