policy,n_seeds,pct_at_target,pct_correct,pct_stopped,dose_rate,cave_gcv,weeks_to_target,mean_return,pct_at_target_lo,pct_at_target_hi,pct_correct_lo,pct_correct_hi,pct_stopped_lo,pct_stopped_hi,dose_rate_lo,dose_rate_hi,cave_gcv_lo,cave_gcv_hi,weeks_to_target_lo,weeks_to_target_hi,mean_return_lo,mean_return_hi
Standard,1,49.13333333333333,49.13333333333333,0.0,0.7608695652173915,53.09719713432287,13.80325644504749,-2.5749817468999607,46.666666666666664,51.733333333333334,46.666666666666664,51.733333333333334,0.0,0.0,0.7608695652173915,0.7608695652173915,51.15906732094035,55.08603002966839,12.622181238631411,14.847014084507041,-2.749068751383646,-2.4017192646245777
Ceiling,1,90.73333333333333,90.73333333333333,0.0,3.5,43.33179833466668,8.195444526083762,-1.3759355224418868,89.2,92.13333333333334,89.2,92.13333333333334,0.0,0.0,3.5,3.5,41.500682197951704,45.225079396855264,7.847101002213932,8.563005410980988,-1.4577338074330028,-1.2993961687415836
MAP-Bayes,1,80.0,88.13333333333333,11.733333333333333,1.5786681214275893,111.60271687253976,18.425833333333333,-0.8522291950080099,78.065,82.13333333333334,86.6,89.93333333333334,10.0,13.466666666666665,1.5246212508382495,1.6321772335608349,106.8227404963515,116.17820571366272,17.62589386360434,19.206670356004143,-0.9003007167474527,-0.8032833416749406
Oracle,1,66.13333333333333,73.66666666666667,9.333333333333334,1.3396601069402838,108.7788384869278,24.653225806451612,-0.8494786951748289,63.93333333333333,68.46666666666667,71.6,75.8,7.933333333333334,10.733333333333334,1.2860236409519672,1.3929532793543165,104.05130809392065,113.60886582528873,23.543564596089542,25.85471079494313,-0.8909527025738921,-0.8090590552725432
DQN trained with flares,1,80.73333333333333,88.93333333333334,13.266666666666666,1.9453240402909957,73.53510411056403,10.599504541701073,-0.8383725922632013,78.8,82.6,87.26666666666667,90.53333333333333,11.665,14.799999999999999,1.9064180928274443,1.9823296721528048,70.13702027307015,76.90645312758583,10.040463207996577,11.18506561487089,-0.8789855562010765,-0.7976183624186741
DQN,3,75.04444444444444,82.93333333333334,12.222222222222223,1.7341367411576247,74.05988840278663,13.339567389430954,-0.8533544507860933,73.11111111111111,77.09,81.33222222222221,84.71222222222222,10.754999999999999,13.822222222222223,1.6934027805284892,1.7723637333238735,71.13841175795217,76.80100716169301,12.720914233718574,13.969937599736326,-0.8954581071285824,-0.8046666495506302
DQN seed 0,1,75.06666666666668,82.73333333333333,12.466666666666667,1.7765540293020579,78.36281614207824,14.032859680284192,-0.8530729870910888,72.86500000000001,77.26666666666667,80.80000000000001,84.60166666666666,10.733333333333334,14.2,1.7355395426250668,1.8173812653850656,75.08746021468188,81.81258696685268,13.191898600516927,14.794938976735374,-0.8983586040637056,-0.803586684635808
DQN seed 1,1,75.13333333333333,82.93333333333334,12.0,1.7223032886569465,71.77717373418346,13.304347826086957,-0.8426583012817512,73.06333333333333,77.2,81.0,84.735,10.466666666666667,13.668333333333331,1.6807148503909515,1.7623624506076638,68.39161954728795,75.34516616129189,12.522570471998502,14.106633253393694,-0.8908490074390888,-0.7979473071033413
DQN seed 2,1,74.93333333333332,83.13333333333334,12.2,1.7035529055138707,72.03967533209814,12.681494661921707,-0.8643320639854395,72.6,77.00166666666667,81.13333333333334,85.00166666666667,10.6,13.733333333333334,1.665792726829664,1.7382461781039018,68.88844401591062,75.10666322762495,12.034754805193199,13.374136987502599,-0.9114565313371283,-0.8199085015094792
