run,episode,epsilon,train_return,return,pct_at_target,pct_correct,pct_stopped,dose_rate,seconds
dqn_cost0.15,416,1.0,-2.5147748494435316,-3.19357661245334,40.0,40.0,0.0,0.777943402678028,0.33625221252441406
dqn_cost0.15,800,1.0,-2.7455199607461016,-3.19357661245334,40.0,40.0,0.0,0.777943402678028,0.6265747547149658
dqn_cost0.15,1216,0.9612,-2.486775474696391,-1.351218813004597,67.0,78.25,21.5,1.4480878624813682,8.26394009590149
dqn_cost0.15,1600,0.9224,-2.3391595587975282,-1.3090304402985418,67.0,78.5,20.0,1.2953101345400537,15.926804304122925
dqn_cost0.15,2016,0.8803666666666666,-2.3582963352674042,-1.3177069891470967,61.25000000000001,72.75,27.0,1.3273092554689845,24.600003242492676
dqn_cost0.15,2400,0.8415666666666667,-2.3917577513932478,-1.3021210149206683,64.75,76.25,22.5,1.4585820847455069,32.427046060562134
dqn_cost0.15,2816,0.7995333333333333,-2.2048337461954732,-1.286361871007096,63.5,75.0,24.0,1.4797836415747008,41.0263237953186
dqn_cost0.15,3200,0.7607333333333334,-2.3478920014673625,-1.308664604940369,65.25,76.5,23.75,1.4028446835716037,48.95052146911621
dqn_cost0.15,3616,0.7187,-2.1537533145233314,-1.2862507758649953,58.75,70.25,29.75,1.4436195218663386,57.51124668121338
dqn_cost0.15,4000,0.6799,-2.19122377808603,-1.3139181070529602,63.24999999999999,74.25,21.75,1.3947868753328847,65.33903622627258
dqn_cost0.15,4416,0.6378666666666666,-1.9271775394985715,-1.2832655948778982,64.0,75.5,25.25,1.3444568435405273,74.52397727966309
dqn_cost0.15,4800,0.5990666666666666,-2.0652003104438967,-1.3105475946375535,62.5,73.5,26.25,1.3421734746363547,81.655353307724
dqn_cost0.15,5216,0.5570333333333333,-1.8309301885890232,-1.296859621985941,62.74999999999999,74.0,23.75,1.3552984449911736,90.09474396705627
dqn_cost0.15,5600,0.5182333333333333,-1.7549398234544267,-1.291213369214293,64.25,75.5,22.5,1.2969931291697976,98.26398634910583
dqn_cost0.15,6016,0.47619999999999996,-1.7126540991056083,-1.2946869670944958,64.75,76.0,23.5,1.3745322857792488,106.72629523277283
dqn_cost0.15,6400,0.4374,-1.63683343826768,-1.3153072587508787,61.75000000000001,73.0,25.25,1.3627451288629044,114.72257328033447
dqn_cost0.15,6816,0.39536666666666676,-1.5885244402443972,-1.2990414596342037,61.75000000000001,73.0,26.25,1.2863672364176417,123.02455019950867
dqn_cost0.15,7200,0.3565666666666667,-1.651005869923633,-1.2906346097949228,61.75000000000001,73.0,25.75,1.369025404142168,130.51071429252625
dqn_cost0.15,7616,0.31453333333333333,-1.6178211327503034,-1.2926580801599368,63.0,74.5,25.25,1.369491305217956,139.07965302467346
dqn_cost0.15,8000,0.2757333333333333,-1.5307699151783323,-1.277216803010048,60.25,71.75,28.000000000000004,1.3992835095523828,146.7407546043396
dqn_cost0.15,8416,0.23370000000000002,-1.4637610734282898,-1.2708279780850567,62.25000000000001,73.75,26.75,1.368252013730648,154.9248743057251
