policy,n_seeds,pct_at_target,pct_correct,pct_stopped,dose_rate,cave_gcv,weeks_to_target,mean_return,pct_at_target_lo,pct_at_target_hi,pct_correct_lo,pct_correct_hi,pct_stopped_lo,pct_stopped_hi,dose_rate_lo,dose_rate_hi,cave_gcv_lo,cave_gcv_hi,weeks_to_target_lo,weeks_to_target_hi,mean_return_lo,mean_return_hi
Standard,1,49.93333333333334,49.93333333333334,0.0,0.7608695652173915,51.21568859943494,7.660881174899867,-2.4335686236413987,47.333333333333336,52.46666666666666,47.333333333333336,52.46666666666666,0.0,0.0,0.7608695652173915,0.7608695652173915,49.25767374390591,53.2431943296734,7.04447972972973,8.256908200833434,-2.589073555368075,-2.2717296122555517
Ceiling,1,92.4,92.4,0.0,3.5,41.990661715588196,8.108946608946608,-1.2614103505423382,91.06666666666666,93.73333333333333,91.06666666666666,93.73333333333333,0.0,0.0,3.5,3.5,40.093342865621715,43.81476747234693,7.834024644472629,8.398930719490059,-1.339227798135857,-1.1939337280183917
MAP-Bayes,1,89.66666666666666,96.6,8.866666666666667,1.5714011070984095,104.16585516857715,11.60817843866171,-0.6596672149309648,88.13166666666666,91.13333333333333,95.6,97.46833333333333,7.466666666666668,10.266666666666667,1.5222687300411994,1.6198757298527322,99.3100258421348,108.89251723816932,11.117008700508219,12.08635493234625,-0.6997102495479551,-0.617988842131979
Oracle,1,88.73333333333333,96.0,7.933333333333334,1.3610060237443151,104.64622804970021,11.278737791134485,-0.5142612878515814,87.06666666666666,90.46666666666667,94.93333333333334,96.935,6.466666666666667,9.333333333333334,1.3052419903625585,1.4148213013149387,100.23061811826082,109.24460538198917,10.790980341845941,11.777598293899665,-0.5496393176827392,-0.47533101743586725
DQN,3,81.77777777777779,88.66666666666667,9.200000000000001,1.741985844153857,72.34575411589998,9.607807633433175,-0.6993245511675444,79.95444444444445,83.55666666666667,87.33333333333333,90.06666666666666,7.733333333333333,10.6,1.702086365918558,1.7803739567278862,69.65654213721892,75.07032767302546,9.20247634521478,10.03587089209398,-0.7422318838044999,-0.6596996368470798
DQN seed 0,1,81.8,88.86666666666667,9.4,1.780324629070593,78.76721641454195,9.528932355338224,-0.6933983565539831,79.73333333333333,83.8,87.2,90.4,7.933333333333334,10.934999999999999,1.7370496078149709,1.8228383577187035,75.6226296741473,81.87826884977358,9.040417409947137,10.076911964047381,-0.7360215944526991,-0.6545842929626353
DQN seed 1,1,83.0,89.8,8.6,1.7438035478430818,70.66678989757246,9.898795180722892,-0.6913783651253375,81.13333333333334,85.0,88.2,91.33333333333333,7.199999999999999,10.133333333333333,1.7025482957244897,1.7822016798480629,67.14850929944058,74.01373100998295,9.394792445552193,10.387781715007462,-0.7314599098884397,-0.6532832058951997
DQN seed 2,1,80.53333333333333,87.33333333333333,9.6,1.701829355547896,67.60325603558553,9.39569536423841,-0.7131969318233129,78.53166666666667,82.6,85.53333333333333,89.0,8.200000000000001,11.133333333333335,1.6628073122382452,1.7397466511198725,64.84174776067448,70.23941370012284,8.934862199682394,9.896733073015392,-0.7561843725693992,-0.6722869338852555
