policy,n_seeds,pct_at_target,pct_correct,pct_stopped,dose_rate,cave_gcv,weeks_to_target,mean_return,pct_at_target_lo,pct_at_target_hi,pct_correct_lo,pct_correct_hi,pct_stopped_lo,pct_stopped_hi,dose_rate_lo,dose_rate_hi,cave_gcv_lo,cave_gcv_hi,weeks_to_target_lo,weeks_to_target_hi,mean_return_lo,mean_return_hi
Standard,1,79.66666666666666,79.66666666666666,0.0,0.7608695652173915,53.09719713432287,6.771548117154811,-0.8487474728690407,77.86666666666666,81.53333333333333,77.86666666666666,81.53333333333333,0.0,0.0,0.7608695652173915,0.7608695652173915,51.15639553261475,55.019853128022184,6.4274649159295905,7.134820829814278,-0.9419860211406718,-0.7518487483429795
Ceiling,1,98.6,98.6,0.0,3.5,43.33179833466668,6.733603786342123,-0.9735852242533171,98.0,99.13333333333333,98.0,99.13333333333333,0.0,0.0,3.5,3.5,41.36715318383058,45.1714663153613,6.522493597229905,6.9635154604821965,-1.001898934446879,-0.9478449484702044
MAP-Bayes,1,98.26666666666667,99.46666666666667,1.5333333333333332,0.8432786798596748,92.7429139212825,9.016282225237449,-0.29494790910184693,97.6,98.86666666666667,99.06666666666666,99.8,0.9333333333333335,2.1999999999999997,0.8087091749845745,0.8825365780807483,88.56321851758803,97.13356791873657,8.670898251509596,9.402435570321417,-0.32023686148582003,-0.2719134122347476
Oracle,1,96.0,97.33333333333334,1.4000000000000001,0.6700601718660871,78.57912780565933,9.738888888888889,-0.20068697061218865,95.0,96.86666666666667,96.53333333333333,98.06666666666666,0.8,2.0,0.6366804478068242,0.7046006942571177,74.72854187705137,82.53280839929177,9.301475687362323,10.224449977106229,-0.21937674135971155,-0.1833253801444513
DQN,1,94.46666666666667,95.73333333333333,2.0666666666666664,1.017217511262093,73.83761990634329,8.381792519407199,-0.3180197902498085,93.265,95.6,94.73333333333333,96.73333333333333,1.4000000000000001,2.8000000000000003,0.9878957226033358,1.0510514118261556,70.72804718050959,76.94049024856115,7.982407801255374,8.78652580289743,-0.3428649081851487,-0.29577719608833614
