family,label,pct_at_target,pct_correct,pct_stopped,dose_rate,cave_gcv,weeks_to_target,mean_return,drug_cost
Fixed regimen,2.5 q4w,50.6,50.6,0.0,0.5833333333333333,48.86491326185586,9.140974967061924,-2.751691582793198,
Fixed regimen,2.5 q6w,39.2,39.2,0.0,0.46052631578947345,52.84660874787396,7.670068027210885,-3.2262392336108134,
Fixed regimen,2.5 q8w,31.0,31.0,0.0,0.38043478260869573,54.55703978064006,7.701075268817204,-3.648460894866737,
Fixed regimen,2.5 q10w,25.933333333333337,25.933333333333337,0.0,0.32407407407407396,54.89457301245392,6.395886889460154,-3.9906122929029686,
Fixed regimen,5 q4w,69.93333333333334,69.93333333333334,0.0,1.1666666666666665,45.95189535627575,8.7302192564347,-1.7320881277210025,
Fixed regimen,5 q6w,59.8,59.8,0.0,0.9210526315789469,49.68026910648947,7.68561872909699,-2.0472301594148448,
Fixed regimen,5 q8w,49.8,49.8,0.0,0.7608695652173915,53.09719713432287,7.161981258366801,-2.3985293373253658,
Fixed regimen,5 q10w,43.46666666666666,43.46666666666666,0.0,0.6481481481481479,54.421886769812076,7.57361963190184,-2.72280866116268,
Fixed regimen,7.5 q4w,79.66666666666666,79.66666666666666,0.0,1.75,44.81923627492666,8.361506276150628,-1.383314969250964,
Fixed regimen,7.5 q6w,70.26666666666667,70.26666666666667,0.0,1.381578947368421,48.38817756185205,7.688804554079696,-1.5604118002163292,
Fixed regimen,7.5 q8w,62.26666666666667,62.26666666666667,0.0,1.1413043478260867,51.902898009649604,7.2012847965738755,-1.8251074051861493,
Fixed regimen,7.5 q10w,55.800000000000004,55.800000000000004,0.0,0.972222222222222,53.859975756315634,8.600955794504182,-2.0910152698615185,
Fixed regimen,10 q4w,86.2,86.2,0.0,2.333333333333333,44.062497546749995,8.23279195668987,-1.2644541692076625,
Fixed regimen,10 q6w,77.2,77.2,0.0,1.8421052631578938,46.94398833482351,7.33419689119171,-1.3308191401797556,
Fixed regimen,10 q8w,69.6,69.6,0.0,1.521739130434783,50.708101960464425,7.439655172413793,-1.5167175026354307,
Fixed regimen,10 q10w,62.73333333333333,62.73333333333333,0.0,1.2962962962962958,53.362946912983425,7.1710945802337935,-1.7335253736268583,
Fixed regimen,12.5 q4w,89.46666666666667,89.46666666666667,0.0,2.9166666666666665,43.79206096613591,7.88822652757079,-1.2543202157448663,
Fixed regimen,12.5 q6w,82.19999999999999,82.19999999999999,0.0,2.302631578947369,46.581180219723386,7.26845093268451,-1.2307678766735788,
Fixed regimen,12.5 q8w,75.2,75.2,0.0,1.902173913043478,49.92390833614438,6.948581560283688,-1.3471226175069915,
Fixed regimen,12.5 q10w,68.8,68.8,0.0,1.6203703703703705,52.58551171611011,7.5852713178294575,-1.5154686617245885,
Fixed regimen,15 q4w,91.93333333333334,91.93333333333334,0.0,3.5,43.33179833466668,7.822335025380711,-1.2993056760427193,
Fixed regimen,15 q6w,86.2,86.2,0.0,2.763157894736842,46.00527678290406,7.242846094354215,-1.2026186580659235,
Fixed regimen,15 q8w,79.46666666666667,79.46666666666667,0.0,2.2826086956521734,49.01730592118611,7.135067114093959,-1.2591614706984016,
Fixed regimen,15 q10w,73.2,73.2,0.0,1.944444444444444,52.04297828197847,7.188524590163935,-1.3831587365425009,
MAP-Bayes,margin 1,62.866666666666674,70.33333333333334,9.466666666666667,1.1157498231446854,101.98086953841153,18.412513255567337,-0.8401267881021001,
MAP-Bayes,margin 0.9,78.2,85.66666666666667,9.2,1.2397754269424321,105.86211917928141,16.452685421994886,-0.725976052349849,
MAP-Bayes,margin 0.8,86.93333333333332,94.39999999999999,8.933333333333334,1.3788429539907276,108.81102736750154,13.513803680981596,-0.6660138476043176,
MAP-Bayes,margin 0.7,89.66666666666666,97.13333333333334,9.0,1.5426219900492728,110.09544516593965,10.898884758364312,-0.6552551461259258,
MAP-Bayes,margin 0.6,90.26666666666667,97.73333333333333,9.0,1.7370771813131651,109.15845078219566,9.404726735598228,-0.6732110516232573,
MAP-Bayes,margin 0.5,90.46666666666667,97.93333333333332,8.933333333333334,1.9649865355974367,104.20973552459718,8.532792925571112,-0.7099521671676333,
DQN,drug cost 0,89.46666666666667,95.33333333333334,6.2,2.447521098586085,53.58521346003449,7.762295081967213,-0.8372756413474748,0.0
DQN,drug cost 0.05,81.64444444444445,88.95555555555556,9.200000000000001,1.7163662927819114,74.09091516276098,9.11949289777399,-0.6976110082080162,0.05
DQN,drug cost 0.15,65.86666666666666,73.86666666666667,22.2,1.3811221870587918,74.86724842116669,10.701417004048583,-0.7738691001954295,0.15
DQN,drug cost 0.4,37.6,45.666666666666664,57.13333333333333,0.8814345004268747,54.51831682220066,8.411347517730496,-1.181448931668097,0.4
