run,episode,epsilon,train_return,return,pct_at_target,pct_correct,pct_stopped,dose_rate,seconds
dqn_cost0,416,1.0,-1.4804556530149602,-2.70206879995334,40.0,40.0,0.0,0.777943402678028,0.28232717514038086
dqn_cost0,800,1.0,-1.7385061493621727,-2.70206879995334,40.0,40.0,0.0,0.777943402678028,0.5681354999542236
dqn_cost0,1216,0.9612,-1.4312634139119829,-0.4573278496917895,81.5,87.75,7.000000000000001,2.3255553203336587,7.730810880661011
dqn_cost0,1600,0.9224,-1.2917661342287612,-0.4841129068429315,80.5,87.25,7.5,1.7768704796221746,15.433360815048218
dqn_cost0,2016,0.8803666666666666,-1.3553145738470143,-0.4688313793357274,81.25,86.5,5.5,1.934541165968749,24.06201434135437
dqn_cost0,2400,0.8415666666666667,-1.4502141603850767,-0.46967023553521847,82.5,86.5,4.0,1.8418613856114234,31.826709508895874
dqn_cost0,2816,0.7995333333333333,-1.2815773697503399,-0.45481911334862146,80.75,85.25,4.75,1.8892790888556175,40.447115898132324
dqn_cost0,3200,0.7607333333333334,-1.3230320653504049,-0.38326639633893733,82.5,88.0,6.0,2.1885158581997803,48.45277214050293
dqn_cost0,3616,0.7187,-1.0281247320214901,-0.38040426532481064,82.0,86.75,5.0,2.046456832446298,57.02700328826904
dqn_cost0,4000,0.6799,-1.3191935427127197,-0.3571071026302984,84.25,87.5,3.25,2.102797090079641,64.867027759552
dqn_cost0,4416,0.6378666666666666,-1.0466136270016624,-0.345572350794388,83.0,88.5,6.0,2.258998594198553,73.54309320449829
dqn_cost0,4800,0.5990666666666666,-1.2172451753696576,-0.33839309209625995,85.25,89.25,4.0,2.3133822768447847,81.36896085739136
dqn_cost0,5216,0.5570333333333333,-0.9538310768976774,-0.322040600464393,85.5,91.0,5.75,2.3082288379878007,89.78208875656128
dqn_cost0,5600,0.5182333333333333,-0.7679283935262337,-0.3646967111845389,83.5,89.25,6.0,2.094230127770285,97.96623182296753
dqn_cost0,6016,0.47619999999999996,-0.8990382080108343,-0.31232439901106235,86.25,90.5,4.25,2.371115751750652,106.47845125198364
dqn_cost0,6400,0.4374,-0.6980172508273061,-0.32685055745437325,86.0,91.5,5.75,2.5610632880182367,114.50078058242798
dqn_cost0,6816,0.39536666666666676,-0.6803718098206633,-0.3374834968608934,85.5,91.0,5.75,2.1875378355555797,122.91118216514587
dqn_cost0,7200,0.3565666666666667,-0.6757912775405647,-0.3275473259004156,85.75,90.0,4.25,2.3909692851459217,130.42856860160828
dqn_cost0,7616,0.31453333333333333,-0.6083547640320732,-0.3222550691637687,85.25,90.75,5.75,2.3360219076229907,138.84580063819885
dqn_cost0,8000,0.2757333333333333,-0.5511693444833752,-0.3199108083629861,84.25,89.75,5.75,2.2997828132545983,146.73796820640564
dqn_cost0,8416,0.23370000000000002,-0.570033927212388,-0.32124418570100344,85.0,90.5,5.75,2.2246837353288798,154.9593048095703
dqn_cost0,8800,0.19490000000000007,-0.504900022049653,-0.3200481135318198,83.75,88.25,4.5,2.3533397600233656,162.53294491767883
dqn_cost0,9216,0.1528666666666667,-0.4970961888645301,-0.31292197180367753,85.25,90.25,5.0,2.430103322310836,170.8659040927887
dqn_cost0,9600,0.11406666666666665,-0.4694930910726962,-0.30768082440039585,85.75,89.5,3.75,2.3207879967123453,178.11840558052063
dqn_cost0,10016,0.0720333333333334,-0.39997576078128877,-0.32495791550980213,85.0,90.0,5.25,2.208028418103217,183.22947216033936
dqn_cost0,10400,0.03323333333333334,-0.31011572943808213,-0.3148379114768012,87.0,90.25,3.25,2.477977794672959,188.37797093391418
dqn_cost0,10816,0.030000000000000027,-0.29645551207419074,-0.3078041971991121,86.25,90.75,4.5,2.4370957035797516,195.18517518043518
dqn_cost0,11200,0.030000000000000027,-0.3717536412522396,-0.32195722458844966,86.25,91.25,5.0,2.2858588146462386,201.69425177574158
dqn_cost0,11616,0.030000000000000027,-0.35917166434028336,-0.3256114356820533,86.5,91.5,5.0,2.2885598011457176,207.23764085769653
dqn_cost0,12000,0.030000000000000027,-0.2572727740315153,-0.3026764590607641,86.0,90.25,4.25,2.418657145389985,212.66322779655457
dqn_cost0,12416,0.030000000000000027,-0.2951011889535878,-0.30563384572118973,86.5,91.75,5.25,2.3044046078636726,221.91037130355835
dqn_cost0,12800,0.030000000000000027,-0.3003133347187256,-0.30147099867258154,87.0,92.5,5.5,2.4003908165351673,228.27376747131348
dqn_cost0,13216,0.030000000000000027,-0.30642080178925746,-0.2966820370534513,85.75,92.0,6.25,2.4240531393360047,235.7967631816864
dqn_cost0,13600,0.030000000000000027,-0.2456469266780215,-0.3116600185317887,86.5,91.75,5.25,2.3495482356089763,243.2304391860962
dqn_cost0,14016,0.030000000000000027,-0.3172527420423949,-0.30632599289880974,86.25,92.5,6.25,2.3987849970473945,253.7813582420349
dqn_cost0,14400,0.030000000000000027,-0.3411559177732506,-0.3039145937790454,87.5,93.0,5.5,2.4548195778798587,258.20226788520813
dqn_cost0,14816,0.030000000000000027,-0.3271033427131759,-0.3006320453463311,87.0,93.25,6.25,2.401963934650816,260.92161655426025
dqn_cost0,15200,0.030000000000000027,-0.29837529568716065,-0.3068330654106413,87.25,92.75,5.5,2.4112433567797207,263.72569608688354
dqn_cost0,15616,0.030000000000000027,-0.3140499755420919,-0.29619286767405134,87.25,93.5,6.5,2.475462314577384,266.65439319610596
dqn_cost0,16000,0.030000000000000027,-0.3835014881256975,-0.29211948097031387,87.5,93.5,6.0,2.49558584647491,269.0619263648987
